timestamps,TP9,AF7,AF8,TP10,Right AUX
1621556151.253,8.789,20.996,42.480,20.508,-7.812
1621556151.257,19.531,20.508,38.086,11.230,-18.066
1621556151.261,22.949,21.973,37.109,6.836,-17.578
1621556151.265,23.438,21.484,34.668,13.672,-8.789
1621556151.269,23.926,24.414,39.062,22.461,7.812
1621556151.273,20.508,27.832,41.016,20.020,22.461
1621556151.276,26.855,30.762,39.551,12.207,51.270
1621556151.280,29.297,32.715,41.504,17.090,-1.465
1621556151.284,25.879,31.738,43.457,27.832,46.387
1621556151.288,34.668,30.762,43.457,26.367,54.688
1621556151.292,34.668,31.250,41.992,18.066,26.855
1621556151.305,28.320,29.785,42.969,21.484,48.340
1621556151.309,29.785,28.809,44.922,28.809,-5.859
1621556151.313,37.598,32.227,44.922,24.414,-40.039
1621556151.317,34.668,30.762,44.434,18.555,20.508
1621556151.321,23.926,30.762,44.922,15.625,41.016
1621556151.325,24.414,32.227,45.410,20.020,47.363
1621556151.329,18.066,28.809,48.340,27.344,18.555
1621556151.332,12.695,28.809,50.293,27.832,-40.039
1621556151.336,11.719,31.250,47.852,23.438,-20.996
1621556151.340,11.230,32.227,46.875,23.438,23.926
1621556151.344,16.113,34.668,52.246,29.297,22.949
1621556151.348,24.414,38.086,55.176,23.438,-6.836
1621556151.361,24.902,38.086,55.664,21.484,9.766
1621556151.365,21.973,34.668,54.688,23.438,34.668
1621556151.369,24.414,35.156,53.711,19.043,29.785
1621556151.373,26.855,29.297,52.246,18.555,-13.672
1621556151.377,25.879,26.367,48.340,16.113,7.324
1621556151.381,27.344,34.668,50.781,20.996,5.371
1621556151.385,24.902,35.645,52.246,26.855,-13.672
1621556151.388,20.996,36.133,50.781,26.855,27.344
1621556151.392,20.020,37.598,51.270,23.926,41.992
1621556151.396,18.555,38.574,49.805,22.461,2.930
1621556151.400,17.578,36.621,51.758,30.273,-19.531
1621556151.404,22.461,33.691,51.270,35.156,46.387
1621556151.417,24.414,35.156,50.293,28.320,-14.160
1621556151.421,19.531,34.668,51.270,14.648,-10.254
1621556151.425,13.672,33.691,51.270,15.625,48.828
1621556151.429,16.602,33.203,49.316,22.461,23.438
1621556151.433,17.578,29.785,48.340,23.926,17.090
1621556151.437,18.555,33.691,46.875,18.555,29.785
1621556151.441,21.973,36.133,43.457,18.555,24.414
1621556151.444,17.578,31.738,39.062,17.578,26.367
1621556151.448,12.695,32.227,38.086,10.742,31.738
1621556151.452,15.137,35.156,41.992,5.371,-28.809
1621556151.456,20.996,33.203,39.551,7.324,5.859
1621556151.460,25.391,33.691,38.574,14.160,28.320
1621556151.511,20.020,35.156,39.062,13.672,47.363
1621556151.515,9.277,32.715,36.133,9.277,73.242
1621556151.519,4.883,32.715,37.598,16.602,59.570
1621556151.523,21.484,31.738,38.574,23.438,54.688
1621556151.527,28.809,32.227,39.551,27.344,20.508
1621556151.531,10.254,30.762,38.574,28.320,46.875
1621556151.535,6.836,30.273,38.086,33.203,81.055
1621556151.538,18.555,32.227,39.551,34.180,38.086
1621556151.542,26.367,36.621,40.527,35.645,-6.348
1621556151.546,18.066,34.668,39.062,32.227,1.465
1621556151.550,13.184,30.762,36.133,24.414,-0.977
1621556151.554,16.602,36.133,34.668,28.809,41.992
1621556151.531,23.926,40.039,32.227,32.227,57.129
1621556151.535,27.832,38.574,29.297,28.809,15.137
1621556151.539,26.855,35.645,27.832,23.926,14.648
1621556151.543,21.973,35.156,26.367,22.949,8.301
1621556151.547,23.438,37.598,26.367,27.344,37.109
1621556151.551,27.832,40.039,30.273,27.832,73.730
1621556151.555,20.020,41.016,31.250,18.066,51.270
1621556151.558,20.020,38.574,30.273,11.230,21.484
1621556151.562,24.902,37.109,28.809,17.090,20.508
1621556151.566,25.879,37.598,27.344,20.508,10.742
1621556151.570,28.809,41.992,30.273,18.555,-8.789
1621556151.574,26.855,44.434,33.691,16.113,-16.113
1621556151.623,23.926,41.504,32.227,19.043,-3.906
1621556151.627,29.297,42.480,31.738,20.020,21.484
1621556151.631,39.062,42.480,33.691,15.625,2.441
1621556151.635,42.480,39.551,33.203,13.184,31.738
1621556151.639,39.062,36.621,31.738,15.625,27.832
1621556151.643,36.133,36.133,33.691,27.344,-20.508
1621556151.647,24.902,38.574,36.133,35.645,35.156
1621556151.650,12.695,37.598,36.621,34.668,39.551
